ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb
SW FP Equity,FR0000121220,Sodexo SA,Consumer Discretionary,0.0013212299999999998,88.472932,79.48,2024-03-31,SW FP
HEN GY Equity,DE0006048408,Henkel AG & Co KGaA,Consumer Staples,0.0013035199999999999,103.91835,66.76,2024-03-31,HEN GY
AGS BB Equity,BE0974264930,Ageas SA/NV,Financials,0.00128849,159.775509,42.92,2024-03-31,AGS BB
VIV FP Equity,FR0000127771,Vivendi SE,Communication Services,0.00127042,669.446781,10.1,2024-03-31,VIV FP
WRT1V FH Equity,FI0009003727,Wartsila OYJ Abp,Industrials,0.00125323,473.378712,14.09,2024-03-31,WRT1V FH
SYENS BB Equity,BE0974464977,Syensqo SA,Materials,0.00122237,74.113491,87.78,2024-03-31,SYENS BB
OMV AV Equity,AT0000743059,OMV AG,Energy,0.00121367,147.272727,43.86,2024-03-31,OMV AV
G1A GY Equity,DE0006602006,GEA Group AG,Industrials,0.00120552,163.714522,39.19,2024-03-31,G1A GY
RED SQ Equity,ES0173093024,Redeia Corp SA,Utilities,0.00120511,405.81,15.805,2024-03-31,RED SQ
GBLB BB Equity,BE0003797140,Groupe Bruxelles Lambert NV,Financials,0.00115868,88.02,70.06,2024-03-31,GBLB BB
ZAL GY Equity,DE000ZAL1111,Zalando SE,Consumer Discretionary,0.00111594,224.20622,26.49,2024-03-31,ZAL GY
LEG GY Equity,DE000LEG1110,LEG Immobilien SE,Real Estate,0.00110812,74.109276,79.58,2024-03-31,LEG GY
ELISA FH Equity,FI0009007884,Elisa Oyj,Communication Services,0.00110508,142.234812,41.35,2024-03-31,ELISA FH
BMW3 GY Equity,DE0005190037,Bayerische Motoren Werke AG,Consumer Discretionary,0.0011004300000000001,58.920408,99.4,2024-03-31,BMW3 GY
AKE FP Equity,FR0010313833,Arkema SA,Materials,0.00110026,60.034811,97.54,2024-03-31,AKE FP
CPR IM Equity,NL0015435975,Davide Campari-Milano NV,Consumer Staples,0.00107738,615.633869,9.314,2024-03-31,CPR IM
RXL FP Equity,FR0010451203,Rexel SA,Industrials,0.00106071,225.540176,25.03,2024-03-31,RXL FP
GET FP Equity,FR0010533075,Getlink SE,Industrials,0.00105997,357.5,15.78,2024-03-31,GET FP
ELE SQ Equity,ES0130670112,Endesa SA,Utilities,0.0010244,317.625635,17.165,2024-03-31,ELE SQ
REC IM Equity,IT0003828271,Recordati Industria Chimica e Farmaceutica SpA,Health Care,0.00100669,104.562578,51.24,2024-03-31,REC IM
RAND NA Equity,NL0000379121,Randstad NV,Industrials,0.0009975000000000001,108.521587,48.92,2024-03-31,RAND NA
PST IM Equity,IT0003796171,Poste Italiane SpA,Financials,0.00099679,457.1385,11.605,2024-03-31,PST IM
NEM GY Equity,DE0006452907,Nemetschek SE,Information Technology,0.00099524,57.75,91.72,2024-03-31,NEM GY
G24 GY Equity,DE000A12DM80,Scout24 SE,Communication Services,0.00098447,75.0,69.86,2024-03-31,G24 GY
JMT PL Equity,PTJMT0AE0001,Jeronimo Martins SGPS SA,Consumer Staples,0.00097796,283.181949,18.38,2024-03-31,JMT PL
LI FP Equity,FR0000121964,Klepierre SA,Real Estate,0.0009701899999999999,215.145879,24.0,2024-03-31,LI FP
TEP FP Equity,FR0000051807,Teleperformance SE,Industrials,0.0009664200000000001,57.098749,90.08,2024-03-31,TEP FP
FORTUM FH Equity,FI0009007132,Fortum Oyj,Utilities,0.00096475,448.632233,11.445,2024-03-31,FORTUM FH
KBX GY Equity,DE000KBX1006,Knorr-Bremse AG,Industrials,0.00095545,72.54,70.1,2024-03-31,KBX GY
TLX GY Equity,DE000TLX1005,Talanx AG,Financials,0.00089033,64.557248,73.4,2024-03-31,TLX GY
KESKOB FH Equity,FI0009000202,Kesko Oyj,Consumer Staples,0.0008885999999999999,273.13098,17.315,2024-03-31,KESKOB FH
DHER GY Equity,DE000A2E4K43,Delivery Hero SE,Consumer Discretionary,0.0008798699999999999,176.610342,26.515,2024-03-31,DHER GY
AFX GY Equity,DE0005313704,Carl Zeiss Meditec AG,Health Care,0.00087572,40.248257,115.8,2024-03-31,AFX GY
WDP BB Equity,BE0974349814,Warehouses De Pauw CVA,Real Estate,0.0008727600000000001,175.547047,26.46,2024-03-31,WDP BB
VER AV Equity,AT0000746409,Verbund AG,Utilities,0.00086681,68.093474,67.75,2024-03-31,VER AV
PUM GY Equity,DE0006969603,Puma SE,Consumer Discretionary,0.00083356,105.577248,42.02,2024-03-31,PUM GY
DIE BB Equity,BE0974259880,D'ieteren Group,Consumer Discretionary,0.00082993,21.4836,205.6,2024-03-31,DIE BB
BOL FP Equity,FR0000039299,Bollore SE,Communication Services,0.00082859,712.420329,6.19,2024-03-31,BOL FP
ADP FP Equity,FR0010340141,Aeroports de Paris SA,Industrials,0.00082715,34.636211,127.1,2024-03-31,ADP FP
LHA GY Equity,DE0008232125,Deutsche Lufthansa AG,Industrials,0.00081852,598.309174,7.281,2024-03-31,LHA GY
GFC FP Equity,FR0010040865,Gecina SA,Real Estate,0.0008181099999999999,46.002517,94.65,2024-03-31,GFC FP
EVK GY Equity,DE000EVNK013,Evonik Industries AG,Materials,0.00080225,233.0,18.325,2024-03-31,EVK GY
BIM FP Equity,FR0013280286,BioMerieux,Health Care,0.0007958899999999999,41.426427,102.25,2024-03-31,BIM FP
AMP IM Equity,IT0004056880,Amplifon SpA,Health Care,0.0007907599999999999,124.513741,33.8,2024-03-31,AMP IM
UMI BB Equity,BE0974320526,Umicore SA,Materials,0.0007868500000000001,209.44,19.995,2024-03-31,UMI BB
VOW GY Equity,DE0007664005,Volkswagen AG,Consumer Discretionary,0.00078511,29.508982,141.6,2024-03-31,VOW GY
IPN FP Equity,FR0010259150,Ipsen SA,Health Care,0.00078166,37.716537,110.3,2024-03-31,IPN FP
AM FP Equity,FR0014004L86,Dassault Aviation SA,Industrials,0.00077429,20.200592,204.0,2024-03-31,AM FP
RAA GY Equity,DE0007010803,Rational AG,Industrials,0.0007681200000000001,5.1165,799.0,2024-03-31,RAA GY
ALO FP Equity,FR0010220475,Alstom SA,Industrials,0.0007652000000000001,288.218301,14.13,2024-03-31,ALO FP
BC8 GY Equity,DE0005158703,Bechtle AG,Information Technology,0.00075373,81.9,48.98,2024-03-31,BC8 GY
FDJU FP Equity,FR0013451333,FDJ UNITED,Consumer Discretionary,0.00074571,105.05,37.78,2024-03-31,FDJU FP
AMUN FP Equity,FR0004125920,Amundi SA,Financials,0.00073424,61.39429,63.65,2024-03-31,AMUN FP
EDPR PL Equity,ES0127797019,EDP Renovaveis SA,Utilities,0.00072409,307.19343,12.545,2024-03-31,EDPR PL
ORNBV FH Equity,FI0009014377,Orion Oyj,Health Care,0.0007001,107.782896,34.57,2024-03-31,ORNBV FH
LOTB BB Equity,BE0003604155,Lotus Bakeries NV,Consumer Staples,0.00068612,0.408007,8950.0,2024-03-31,LOTB BB
INW IM Equity,IT0005090300,Infrastrutture Wireless Italiane SpA,Communication Services,0.0006649199999999999,336.07,10.53,2024-03-31,INW IM
NEXI IM Equity,IT0005366767,Nexi SpA,Financials,0.00065179,590.557737,5.874,2024-03-31,NEXI IM
ENG SQ Equity,ES0130960018,Enagas SA,Utilities,0.00064372,248.89057,13.765,2024-03-31,ENG SQ
RF FP Equity,FR0000121121,Eurazeo SE,Financials,0.0006388199999999999,41.845031,81.25,2024-03-31,RF FP
SOF BB Equity,BE0003717312,Sofina SA,Financials,0.00060235,15.4125,208.0,2024-03-31,SOF BB
VOE AV Equity,AT0000937503,voestalpine AG,Materials,0.00056696,116.056956,26.0,2024-03-31,VOE AV
SK FP Equity,FR0000121709,SEB SA,Consumer Discretionary,0.00055492,24.901997,118.6,2024-03-31,SK FP
