ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb,ticker_base,ticker_alt,merge_key,esg_score_raw,sector_pct_rank,in_esg_universe
SAMPO FH Equity,FI4000552500,Sampo Oyj,Financials,0.00391958,459.879992,41.12,2023-06-30,SAMPO FH,SAMPO FH,SAMPO FH,SAMPO FH,11.81673504,0.3902439024390244,False
G IM Equity,IT0000062072,Generali,Financials,0.00391165,1013.53295,18.62,2023-06-30,G IM,G IM,G IM,G IM,11.63104274,0.43902439024390244,False
DBK GY Equity,DE0005140008,Deutsche Bank AG,Financials,0.00386396,1938.230811,9.618,2023-06-30,DBK GY,DBK GY,DBK GR,DBK GR,1.363247863,1.0,False
PHIA NA Equity,NL0000009538,Koninklijke Philips NV,Health Care,0.00382182,930.867289,19.808,2023-06-30,PHIA NA,PHIA NA,PHIA NA,PHIA NA,12.57116426,0.42857142857142855,False
ML FP Equity,FR001400AJ45,Cie Generale des Etablissements Michelin SCA,Consumer Discretionary,0.00380507,678.411483,27.06,2023-06-30,ML FP,ML FP,ML FP,ML FP,10.53309292,0.6538461538461539,False
ASM NA Equity,NL0000334118,ASM International NV,Information Technology,0.00377367,46.881121,388.35,2023-06-30,ASM NA,ASM NA,ASM NA,ASM NA,12.25950571,0.4,False
REP SQ Equity,ES0173516115,Repsol SA,Energy,0.00366752,1327.396053,13.33,2023-06-30,REP SQ,REP SQ,REP SM,REP SM,12.46861677,0.2857142857142857,True
GLE FP Equity,FR0000130809,Societe Generale SA,Financials,0.00358827,727.388069,23.8,2023-06-30,GLE FP,GLE FP,GLE FP,GLE FP,10.20401348,0.7560975609756098,False
DSFIR NA Equity,CH1216478797,DSM-Firmenich AG,Materials,0.00357284,174.786029,98.62,2023-06-30,DSFIR NA,DSFIR NA,DSFIR NA,DSFIR NA,8.285420472,0.8823529411764706,False
PUB FP Equity,FR0000130577,Publicis Groupe SA,Communication Services,0.00348689,228.880674,73.5,2023-06-30,PUB FP,PUB FP,PUB FP,PUB FP,15.67469307,0.07692307692307693,True
UMG NA Equity,NL0015000IY2,Universal Music Group NV,Communication Services,0.00345592,819.32557,20.35,2023-06-30,UMG NA,UMG NA,UMG NA,UMG NA,11.36108621,0.23076923076923078,True
DTG GY Equity,DE000DTR0CK8,Daimler Truck Holding AG,Industrials,0.00337739,493.771129,33.0,2023-06-30,DTG GY,DTG GY,DTG GR,DTG GR,9.533547479,0.8648648648648649,False
KNEBV FH Equity,FI0009013403,Kone Oyj,Industrials,0.00336962,339.890361,47.83,2023-06-30,KNEBV FH,KNEBV FH,KNEBV FH,KNEBV FH,10.52162655,0.5135135135135135,False
KBC BB Equity,BE0003565737,KBC Group NV,Financials,0.00331622,250.301648,63.92,2023-06-30,KBC BB,KBC BB,KBC BB,KBC BB,12.80863359,0.17073170731707318,True
CABK SQ Equity,ES0140609019,CaixaBank SA,Financials,0.00323881,4126.17239,3.787,2023-06-30,CABK SQ,CABK SQ,CABK SM,CABK SM,10.72810217,0.6829268292682927,False
EDEN FP Equity,FR0010908533,Edenred SE,Financials,0.00317329,249.588059,61.34,2023-06-30,EDEN FP,EDEN FP,EDEN FP,EDEN FP,11.06159564,0.6341463414634146,False
NESTE FH Equity,FI0009013296,Neste Oyj,Energy,0.00309195,423.066082,35.26,2023-06-30,NESTE FH,NESTE FH,NESTE FH,NESTE FH,12.71111532,0.14285714285714285,True
