ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb,ticker_base,ticker_alt,merge_key,esg_score_raw
PRY IM Equity,IT0004176001,Prysmian SpA,Industrials,0.00220117,262.614919,41.17,2023-12-29,PRY IM,PRY IM,PRY IM,PRY IM,11.86301457
TRN IM Equity,IT0003242622,Terna - Rete Elettrica Nazionale,Utilities,0.00216383,1406.9944,7.554,2023-12-29,TRN IM,TRN IM,TRN IM,TRN IM,13.03873361
BESI NA Equity,NL0012866412,BE Semiconductor Industries NV,Information Technology,0.00214152,77.089401,136.45,2023-12-29,BESI NA,BESI NA,BESI NA,BESI NA,10.96720286
MTX GY Equity,DE000A0D9PT0,MTU Aero Engines AG,Industrials,0.00213956,53.824489,195.25,2023-12-29,MTX GY,MTX GY,MTX GR,MTX GR,10.16023758
KPN NA Equity,NL0000009082,Koninklijke KPN NV,Communication Services,0.00212991,3355.305115,3.118,2023-12-29,KPN NA,KPN NA,KPN NA,KPN NA,10.0715646
1COV GY Equity,DE0006062144,Covestro AG,Materials,0.0020745299999999,193.428321,52.68,2023-12-29,1COV GY,1COV GY,1COV GR,1COV GR,10.74004821
UCB BB Equity,BE0003739530,UCB SA,Health Care,0.00203084,126.428678,78.9,2023-12-29,UCB BB,UCB BB,UCB BB,UCB BB,13.55416481
HEIO NA Equity,NL0000008977,Heineken Holding NV,Consumer Staples,0.00202131,129.613576,76.6,2023-12-29,HEIO NA,HEIO NA,HEIO NA,HEIO NA,
NN NA Equity,NL0010773842,NN Group NV,Financials,0.0019706,270.75,35.75,2023-12-29,NN NA,NN NA,NN NA,NN NA,11.82814081
CA FP Equity,FR0000120172,Carrefour SA,Consumer Staples,0.00194249,575.987067,16.565,2023-12-29,CA FP,CA FP,CA FP,CA FP,12.1087435
SRG IM Equity,IT0003153415,Snam SpA,Utilities,0.00191106,2016.514685,4.655,2023-12-29,SRG IM,SRG IM,SRG IM,SRG IM,12.51443798
SKG ID Equity,IE00B1RR8406,Smurfit Kappa Group PLC,Materials,0.00190183,260.354342,35.88,2023-12-29,SKG ID,SKG ID,SKG ID,SKG ID,
P911 GY Equity,DE000PAG9113,Dr Ing hc F Porsche AG,Consumer Discretionary,0.00185238,113.875,79.9,2023-12-29,P911 GY,P911 GY,P911 GR,P911 GR,8.765428966
QIA GY Equity,NL0015002CX3,QIAGEN NV,Health Care,0.00182916,228.035,39.4,2023-12-29,QIA GY,QIA GY,QIA GR,QIA GR,12.6601106
IMCD NA Equity,NL0010801007,IMCD NV,Industrials,0.00182791,56.987858,157.55,2023-12-29,IMCD NA,IMCD NA,IMCD NA,IMCD NA,11.23820844
SW FP Equity,FR0000121220,Sodexo SA,Consumer Discretionary,0.00179437,88.472932,99.62,2023-12-29,SW FP,SW FP,SW FP,SW FP,10.00530773
SRT3 GY Equity,DE0007165631,Sartorius AG,Health Care,0.00177784,26.208,333.2,2023-12-29,SRT3 GY,SRT3 GY,SRT3 GR,SRT3 GR,
BIRG ID Equity,IE00BD1RP616,Bank of Ireland Group PLC,Financials,0.00176785,1056.636305,8.218,2023-12-29,BIRG ID,BIRG ID,BIRG ID,BIRG ID,9.696515852
AGN NA Equity,BMG0112X1056,Aegon Ltd,Financials,0.0017349,1623.78153,5.248,2023-12-29,AGN NA,AGN NA,AGN NA,AGN NA,12.38613132
EXO NA Equity,NL0012059018,EXOR NV,Financials,0.0017245099999999,93.597014,90.5,2023-12-29,EXO NA,EXO NA,EXO NA,EXO NA,6.501676799
CON GY Equity,DE0005439004,Continental AG,Consumer Discretionary,0.00172266,110.003291,76.92,2023-12-29,CON GY,CON GY,CON GR,CON GR,8.118905249
ACS SQ Equity,ES0167050915,ACS Actividades de Construccion y Servicios SA,Industrials,0.00170573,208.62375,40.16,2023-12-29,ACS SQ,ACS SQ,ACS SM,ACS SM,10.29703193
FBK IM Equity,IT0000072170,FinecoBank Banca Fineco SpA,Financials,0.00168886,610.631635,13.585,2023-12-29,FBK IM,FBK IM,FBK IM,FBK IM,11.75622492
ERF FP Equity,FR0014000MR3,Eurofins Scientific SE,Health Care,0.0016206699999999,134.969914,58.98,2023-12-29,ERF FP,ERF FP,ERF FP,ERF FP,8.264907128
URW FP Equity,FR0013326246,Unibail-Rodamco-Westfield,Real Estate,0.00161016,118.184429,66.92,2023-12-29,URW FP,URW FP,URW FP,URW FP,14.54165875
TEP FP Equity,FR0000051807,Teleperformance SE,Industrials,0.00160053,59.534759,132.05,2023-12-29,TEP FP,TEP FP,TEP FP,TEP FP,8.92011395
FME GY Equity,DE0005785802,Fresenius Medical Care AG,Health Care,0.0015873,205.389414,37.96,2023-12-29,FME GY,FME GY,FME GR,FME GR,14.25111963
TEN IM Equity,LU2598331598,Tenaris SA,Energy,0.00151369,472.2148,15.745,2023-12-29,TEN IM,TEN IM,TEN IM,TEN IM,9.047814223
STERV FH Equity,FI0009005961,Stora Enso Oyj,Materials,0.00148348,581.768912,12.525,2023-12-29,STERV FH,STERV FH,STERV FH,STERV FH,10.85632212
FGR FP Equity,FR0000130452,Eiffage SA,Industrials,0.00145179,73.5,97.02,2023-12-29,FGR FP,FGR FP,FGR FP,FGR FP,9.626494236
RNO FP Equity,FR0000131906,Renault SA,Consumer Discretionary,0.00144423,192.219485,36.905,2023-12-29,RNO FP,RNO FP,RNO FP,RNO FP,11.77996506
PAH3 GY Equity,DE000PAH0038,Porsche Automobil Holding SE,Consumer Discretionary,0.001444,153.125,46.32,2023-12-29,PAH3 GY,PAH3 GY,PAH3 GR,PAH3 GR,7.825617014
SYENS BB Equity,BE0974464977,Syensqo SA,Materials,0.0014222599999999,74.113491,94.26,2023-12-29,SYENS BB,SYENS BB,SYENS BB,SYENS BB,9.271928234
AC FP Equity,FR0000120404,Accor SA,Consumer Discretionary,0.0013994699999999,198.670382,34.6,2023-12-29,AC FP,AC FP,AC FP,AC FP,13.4706181
ASRNL NA Equity,NL0011872643,ASR Nederland NV,Financials,0.00137784,158.495234,42.7,2023-12-29,ASRNL NA,ASRNL NA,ASRNL NA,ASRNL NA,13.80074789
HEN GY Equity,DE0006048408,Henkel AG & Co KGaA,Consumer Staples,0.0013747599999999,103.91835,64.98,2023-12-29,HEN GY,HEN GY,HEN GR,HEN GR,
BVI FP Equity,FR0006174348,Bureau Veritas SA,Industrials,0.00137324,294.934588,22.87,2023-12-29,BVI FP,BVI FP,BVI FP,BVI FP,14.07980125
ENX FP Equity,NL0006294274,Euronext NV,Financials,0.00137201,85.685035,78.65,2023-12-29,ENX FP,ENX FP,ENX FP,ENX FP,11.58132953
DIM FP Equity,FR0013154002,Sartorius Stedim Biotech,Health Care,0.0013483999999999,27.654057,239.5,2023-12-29,DIM FP,DIM FP,DIM FP,DIM FP,6.701745881
JMT PL Equity,PTJMT0AE0001,Jeronimo Martins SGPS SA,Consumer Staples,0.00132832,283.181949,23.04,2023-12-29,JMT PL,JMT PL,JMT PL,JMT PL,13.32359169
EN FP Equity,FR0000120503,Bouygues SA,Industrials,0.00132499,190.743918,34.12,2023-12-29,EN FP,EN FP,EN FP,EN FP,9.626494236
VIV FP Equity,FR0000127771,Vivendi SE,Communication Services,0.00131876,669.446781,9.676,2023-12-29,VIV FP,VIV FP,VIV FP,VIV FP,10.79695626
ABN NA Equity,NL0011540547,ABN AMRO Bank NV,Financials,0.00131717,476.066458,13.59,2023-12-29,ABN NA,ABN NA,ABN NA,ABN NA,8.921655177
AGS BB Equity,BE0974264930,Ageas SA/NV,Financials,0.0012787,159.775509,39.31,2023-12-29,AGS BB,AGS BB,AGS BB,AGS BB,11.50011201
GBLB BB Equity,BE0003797140,Groupe Bruxelles Lambert NV,Financials,0.0012762499999999,88.02,71.22,2023-12-29,GBLB BB,GBLB BB,GBLB BB,GBLB BB,12.57657661
RAND NA Equity,NL0000379121,Randstad NV,Industrials,0.0012745699999999,110.375587,56.72,2023-12-29,RAND NA,RAND NA,RAND NA,RAND NA,12.56027248
ENR GY Equity,DE000ENER6Y0,Siemens Energy AG,Industrials,0.0012693,519.551313,12.0,2023-12-29,ENR GY,ENR GY,ENR GR,ENR GR,12.56754552
WRT1V FH Equity,FI0009003727,Wartsila OYJ Abp,Industrials,0.0012649199999999,473.378712,13.125,2023-12-29,WRT1V FH,WRT1V FH,WRT1V FH,WRT1V FH,9.997953007
MB IM Equity,IT0000062957,Mediobanca Banca di Credito Finanziario SpA,Financials,0.00125927,552.017358,11.205,2023-12-29,MB IM,MB IM,MB IM,MB IM,11.09612043
AKE FP Equity,FR0010313833,Arkema SA,Materials,0.00125891,60.034811,103.0,2023-12-29,AKE FP,AKE FP,AKE FP,AKE FP,11.39472632
G1A GY Equity,DE0006602006,GEA Group AG,Industrials,0.00125622,163.714522,37.69,2023-12-29,G1A GY,G1A GY,G1A GR,G1A GR,14.44319752
AIBG ID Equity,IE00BF0L3536,AIB Group PLC,Financials,0.00124117,1571.252193,3.88,2023-12-29,AIBG ID,AIBG ID,AIBG ID,AIBG ID,11.93287019
METSO FH Equity,FI0009014575,Metso Oyj,Industrials,0.00123809,663.177952,9.17,2023-12-29,METSO FH,METSO FH,METSO FH,METSO FH,7.694750281
